GAME_ID,Date,Start (ET),Visitor_ID,Visitor_PTS,Home_ID,Home_PTS,Notes
355,"Sun, Dec 11, 2016",6:00 PM,1610612755,97,1610612765,79,
356,"Sun, Dec 11, 2016",9:30 PM,1610612752,118,1610612747,112,
357,"Sun, Dec 11, 2016",7:00 PM,1610612744,116,1610612750,108,
358,"Sun, Dec 11, 2016",7:00 PM,1610612738,96,1610612760,99,
359,"Sun, Dec 11, 2016",8:30 PM,1610612740,120,1610612756,119,OT
360,"Mon, Dec 12, 2016",8:30 PM,1610612743,92,1610612742,112,
361,"Mon, Dec 12, 2016",8:00 PM,1610612751,118,1610612745,122,
362,"Mon, Dec 12, 2016",7:00 PM,1610612766,94,1610612754,110,
364,"Mon, Dec 12, 2016",7:30 PM,1610612764,101,1610612748,112,
365,"Mon, Dec 12, 2016",10:30 PM,1610612747,92,1610612758,116,
366,"Mon, Dec 12, 2016",7:30 PM,1610612749,100,1610612761,122,
367,"Tue, Dec 13, 2016",7:30 PM,1610612753,131,1610612737,120,
368,"Tue, Dec 13, 2016",8:00 PM,1610612750,99,1610612741,94,
369,"Tue, Dec 13, 2016",7:00 PM,1610612763,86,1610612739,103,
370,"Tue, Dec 13, 2016",8:00 PM,1610612744,113,1610612740,109,
371,"Tue, Dec 13, 2016",9:00 PM,1610612752,111,1610612756,113,OT
372,"Tue, Dec 13, 2016",10:30 PM,1610612760,95,1610612757,114,
373,"Wed, Dec 14, 2016",7:30 PM,1610612747,97,1610612751,107,
374,"Wed, Dec 14, 2016",8:30 PM,1610612765,95,1610612742,85,
375,"Wed, Dec 14, 2016",8:00 PM,1610612758,98,1610612745,132,
376,"Wed, Dec 14, 2016",8:00 PM,1610612739,85,1610612763,93,
